v293r5_design_dobb -- the observer's model b, every world.  R5 = Kp 1.2, notch Q1, Kv 6e-4 rc .03, DOB .8, Ki .3 flat unless named.

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R5 dobb .0006 DOB.6            6 | 0.028 0.023 0.000 0.013    | 0.69 +0.15 0.348  |   2.06  | 0.032   12.6  1 0.061          | 0.47 0.57 +0.16  51.2 +1.89     |  5.41  3 0.258 +0.103 0.382 0.52
  R5 dobb .0006 DOB.6            8 | 0.043 0.034 0.000 0.021    | 0.67 +0.21 0.348  |   1.61  | 0.033    8.2  1 0.069          | 0.48 0.57 +0.15  31.8 +0.99     |  3.87  2 0.242 +0.097 0.358 0.54
  R5 dobb .0006 DOB.6           12 | 0.065 0.041 0.000 0.030    | 0.65 +0.20 0.341  |   1.02  | 0.035    4.7  0 0.077          | 0.49 0.56 +0.15  17.7 +0.46     |  2.60  3 0.290 +0.116 0.335 0.58
  R5 dobb .0006 DOB.6           19 | 0.116 0.047 0.004 0.052    | 0.64 +0.15 0.340  |   0.37  | 0.041    3.5  0 0.096          | 0.53 0.60 +0.24   8.7 +0.34     |  2.28  0 0.183 +0.073 0.347 0.58
  R5 dobb .0006 DOB.6           26 | 0.136 0.044 0.007 0.064    | 0.63 +0.08 0.335  |   0.05  | 0.043    3.6  0 0.102          | 0.54 0.61 +0.29   5.9 +0.26     |  1.84  0 0.104 +0.042 0.359 0.52
  R5 dobb .0006 DOB1.0           6 | 0.025 0.011 0.002 0.012    | 0.68 +0.19 0.349  |   1.91  | 0.028   14.5  1 0.059          | 0.47 0.56 +0.22  54.1 +2.63     |  6.19  3 0.298 +0.119 0.370 0.54
  R5 dobb .0006 DOB1.0           8 | 0.041 0.012 0.003 0.018    | 0.67 +0.25 0.349  |   1.51  | 0.029    9.7  1 0.066          | 0.48 0.56 +0.24  34.2 +1.59     |  4.61  2 0.290 +0.116 0.350 0.57
  R5 dobb .0006 DOB1.0          12 | 0.059 0.014 0.004 0.026    | 0.64 +0.25 0.342  |   0.70  | 0.030    5.8  1 0.073          | 0.48 0.54 +0.26  19.3 +0.81     |  3.67  4 0.359 +0.144 0.329 0.55
  R5 dobb .0006 DOB1.0          19 | 0.106 0.001 0.019 0.042    | 0.62 +0.20 0.340  |   0.69  | 0.034    3.8  0 0.089          | 0.52 0.57 +0.37  10.1 +0.53     |  3.27  1 0.259 +0.104 0.337 0.50
  R5 dobb .0006 DOB1.0          26 | 0.097 0.010 0.009 0.050    | 0.62 +0.13 0.335  |   0.12  | 0.036    3.6  0 0.094          | 0.52 0.58 +0.37   6.9 +0.33     |  2.37  0 0.177 +0.071 0.337 0.51

======================================================================================================================================================
WORLD ident (b F1, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                       6 | 0.026 0.031 0.032 0.028    | 0.81 +0.13 0.368  |   0.96  | 0.040    9.7  1 0.068          | 0.53 0.72 +0.08  34.4 +0.93     |  2.39  2 0.247 +0.099 0.506 0.83
  R4-flown                       8 | 0.042 0.049 0.050 0.044    | 0.77 +0.18 0.368  |   0.94  | 0.045    5.7  0 0.078          | 0.54 0.75 +0.09  20.5 +0.57     |  1.62  2 0.194 +0.077 0.470 0.82
  R4-flown                      12 | 0.052 0.065 0.056 0.048    | 0.84 +0.14 0.380  |   0.04  | 0.048    3.6  0 0.091          | 0.61 1.20 +0.21   7.5 +0.65     |  0.57  1 0.379 +0.151 0.505 0.85
  R4-flown                      19 | 0.094 0.104 0.033 0.059    | 0.78 +0.27 0.385  |   0.92  | 0.049    3.6  0 0.108          | 0.67 1.46 +0.48   3.6 +0.69     |  0.41  0 0.453 +0.181 0.442 0.84
  R4-flown                      26 | 0.119 0.117 0.021 0.066    | 0.75 +0.27 0.380  |   0.42  | 0.052    3.6  0 0.116          | 0.70 1.68 -0.00   1.9 -0.00     |  0.30  0 0.371 +0.148 0.408 0.85
  R5 dobb ident                  6 | 0.020 0.018 0.001 0.012    | 0.80 +0.11 0.365  |   1.22  | 0.032   11.6  1 0.062          | 0.52 0.67 +0.17  37.3 +2.00     |  2.58  2 0.134 +0.054 0.486 0.38
  R5 dobb ident                  8 | 0.032 0.028 0.003 0.018    | 0.76 +0.18 0.364  |   1.27  | 0.032    7.6  1 0.069          | 0.52 0.66 +0.20  23.2 +1.36     |  1.82  2 0.147 +0.059 0.437 0.09
  R5 dobb ident                 12 | 0.041 0.034 0.004 0.022    | 0.83 +0.10 0.370  |   0.19  | 0.038    3.6  0 0.078          | 0.57 0.78 +0.22   8.7 +0.69     |  0.61  1 0.136 +0.054 0.510 0.03
  R5 dobb ident                 19 | 0.081 0.052 0.007 0.040    | 0.77 +0.16 0.370  |   0.38  | 0.040    3.6  0 0.094          | 0.62 0.81 +0.37   4.0 +0.53     |  0.43  0 0.208 +0.083 0.437 0.05
